X,Date,Opponent,W.L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS,year,home_away,conf_nonconf,block.success,kills.per.set,blocks.per.set,blocking.error.rate,assists.per.set,bhe.rate,digs.per.set,sre.per.set,se.per.set,sa.per.set,yearless,yearless.date
94,2017-09-08,vs Cornell College,L,3,39,18,115,0.183,34,0,9,8,39,0,2,1,1,1,40,2017,away,non-conference,0.5,13,0.333333333333333,0.333333333333333,11.3333333333333,0.0294117647058824,13,2.66666666666667,3,0,08/09,2022-09-08
95,2017-09-08,"vs Dubuque, Univ. of",W,4,49,20,151,0.192,48,4,8,1,57,0,8,0,4,0,57,2017,away,non-conference,0.5,12.25,1,0,12,0,14.25,0.25,2,1,08/09,2022-09-08
96,2017-09-09,Loras,L,4,40,24,127,0.126,37,6,5,9,44,3,6,0,6,7,52,2017,away,non-conference,1,10,1.5,0,9.25,0.189189189189189,11,2.25,1.25,1.5,09/09,2022-09-09
97,2017-09-09,vs Wartburg,W,3,43,15,107,0.262,37,2,7,2,45,2,0,0,2,0,47,2017,away,non-conference,Inf,14.3333333333333,0.666666666666667,0,12.3333333333333,0,15,0.666666666666667,2.33333333333333,0.666666666666667,09/09,2022-09-09
98,2017-09-11,at CROWN COLLEGE,L,3,16,23,88,-0.08,15,0,5,10,34,0,6,0,3,0,19,2017,home,non-conference,0.5,5.33333333333333,1,0,5,0,11.3333333333333,3.33333333333333,1.66666666666667,0,11/09,2022-09-11
99,2017-09-13,at Augsburg University,L,5,53,36,198,0.086,48,3,8,4,87,2,22,1,13,1,69,2017,home,conference,0.590909090909091,10.6,2.6,0.2,9.6,0.0208333333333333,17.4,0.8,1.6,0.6,13/09,2022-09-13
100,2017-09-15,vs Saint Benedict,W,4,58,26,157,0.204,56,3,9,2,47,1,18,1,10,2,71,2017,away,conference,0.555555555555556,14.5,2.5,0.25,14,0.0357142857142857,11.75,0.5,2.25,0.75,15/09,2022-09-15
101,2017-09-15,UW-River Falls,W,5,56,22,157,0.217,51,6,7,5,65,0,16,3,8,3,70,2017,away,non-conference,0.5,11.2,1.6,0.6,10.2,0.0588235294117647,13,1,1.4,1.2,15/09,2022-09-15
102,2017-09-16,vs STEVENS POINT,W,3,46,9,116,0.319,43,3,0,1,49,1,13,0,7.5,5,56.5,2017,away,non-conference,0.576923076923077,15.3333333333333,2.5,0,14.3333333333333,0.116279069767442,16.3333333333333,0.333333333333333,0,1,16/09,2022-09-16
103,2017-09-16,vs FINLANDIA,L,3,12,9,76,0.039,12,1,4,6,23,1,0,1,1,4,14,2017,away,non-conference,Inf,4,0.333333333333333,0.333333333333333,4,0.333333333333333,7.66666666666667,2,1.33333333333333,0.333333333333333,16/09,2022-09-16
104,2017-09-20,Hamline University,L,3,38,18,107,0.187,36,6,4,5,38,1,6,0,4,2,48,2017,away,conference,0.666666666666667,12.6666666666667,1.33333333333333,0,12,0.0555555555555556,12.6666666666667,1.66666666666667,1.33333333333333,2,20/09,2022-09-20
105,2017-09-23,Macalester,L,4,34,20,123,0.114,33,5,8,7,55,1,12,4,7,8,46,2017,away,conference,0.583333333333333,8.5,1.75,1,8.25,0.242424242424242,13.75,1.75,2,1.25,23/09,2022-09-23
106,2017-09-25,Martin Luther,L,3,26,19,101,0.069,25,1,4,7,27,3,4,0,5,0,32,2017,away,non-conference,1.25,8.66666666666667,1.66666666666667,0,8.33333333333333,0,9,2.33333333333333,1.33333333333333,0.333333333333333,25/09,2022-09-25
107,2017-09-27,at St. Thomas,W,3,41,21,113,0.177,41,6,3,2,42,1,4,0,3,2,50,2017,home,non-conference,0.75,13.6666666666667,1,0,13.6666666666667,0.0487804878048781,14,0.666666666666667,1,2,27/09,2022-09-27
108,2017-09-30,at Bethel University,L,4,38,19,150,0.127,37,2,2,2,67,0,14,0,7,7,47,2017,home,conference,0.5,9.5,1.75,0,9.25,0.189189189189189,16.75,0.5,0.5,0.5,30/09,2022-09-30
